TimeStamp,URL,Response Time (ms),Status_Code,Status
2025-02-17 06:52:06+00:00,https://www.google.com,531.147,200,Online
2025-02-17 06:52:03+00:00,https://www.github.com,176.654,200,Online
2025-02-17 12:22:07.749043,https://www.nonexistentwebsite12345.com,N/A,N/A,Offline
2025-02-16 11:45:36+00:00,https://www.wikipedia.org,225.033,200,Online
